Date,Source,Site ID,POC,val,UNITS,DAILY_AQI_VALUE,Site_Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2018-06-02,AQS,340410007,1,7.1,ug/m3 LC,30,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-06-03,AQS,340410007,1,5.2,ug/m3 LC,22,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-06-04,AQS,340410007,1,5.6,ug/m3 LC,23,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-06-10,AQS,340410007,1,7.3,ug/m3 LC,30,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-06-13,AQS,340410007,1,7.4,ug/m3 LC,31,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-06-16,AQS,340410007,1,5.6,ug/m3 LC,23,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-06-19,AQS,340410007,1,5.7,ug/m3 LC,24,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-06-22,AQS,340410007,1,6.4,ug/m3 LC,27,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-06-25,AQS,340410007,1,4.6,ug/m3 LC,19,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-06-28,AQS,340410007,1,5.1,ug/m3 LC,21,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-07-01,AQS,340410007,1,17.5,ug/m3 LC,62,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-07-04,AQS,340410007,1,8.8,ug/m3 LC,37,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-07-07,AQS,340410007,1,3.1,ug/m3 LC,13,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-07-10,AQS,340410007,1,9.6,ug/m3 LC,40,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-07-13,AQS,340410007,1,10.6,ug/m3 LC,44,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2018-07-16,AQS,340410007,1,12.8,ug/m3 LC,52,Columbia WMA,1,100,88101,PM2.5,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
