Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
10/17/2018,AQS,340010006,1,3.6,ug/m3 LC,15,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
10/20/2018,AQS,340010006,1,6,ug/m3 LC,25,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
10/23/2018,AQS,340010006,1,4.6,ug/m3 LC,19,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
10/26/2018,AQS,340010006,1,2.8,ug/m3 LC,12,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
10/29/2018,AQS,340010006,1,3,ug/m3 LC,13,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
11/1/2018,AQS,340010006,1,9.1,ug/m3 LC,38,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
11/4/2018,AQS,340010006,1,3.6,ug/m3 LC,15,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
11/7/2018,AQS,340010006,1,4.3,ug/m3 LC,18,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
11/10/2018,AQS,340010006,1,3.1,ug/m3 LC,13,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
11/13/2018,AQS,340010006,1,4,ug/m3 LC,17,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
11/16/2018,AQS,340010006,1,3.2,ug/m3 LC,13,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
11/19/2018,AQS,340010006,1,10,ug/m3 LC,42,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
11/22/2018,AQS,340010006,1,2.4,ug/m3 LC,10,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
12/1/2018,AQS,340010006,1,8.6,ug/m3 LC,36,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
12/4/2018,AQS,340010006,1,2.3,ug/m3 LC,10,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
12/7/2018,AQS,340010006,1,4.8,ug/m3 LC,20,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
12/13/2018,AQS,340010006,1,8.7,ug/m3 LC,36,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
12/16/2018,AQS,340010006,1,5,ug/m3 LC,21,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
12/19/2018,AQS,340010006,1,6.3,ug/m3 LC,26,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
12/22/2018,AQS,340010006,1,3.7,ug/m3 LC,15,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
12/25/2018,AQS,340010006,1,5.2,ug/m3 LC,22,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
12/28/2018,AQS,340010006,1,4.7,ug/m3 LC,20,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
12/31/2018,AQS,340010006,1,3.9,ug/m3 LC,16,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/1/2018,AQS,340010006,3,4.6,ug/m3 LC,19,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/2/2018,AQS,340010006,3,9,ug/m3 LC,38,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/3/2018,AQS,340010006,3,9,ug/m3 LC,38,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/4/2018,AQS,340010006,3,6,ug/m3 LC,25,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/5/2018,AQS,340010006,3,3.6,ug/m3 LC,15,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/6/2018,AQS,340010006,3,5.5,ug/m3 LC,23,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/7/2018,AQS,340010006,3,5.6,ug/m3 LC,23,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/8/2018,AQS,340010006,3,9.2,ug/m3 LC,38,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/9/2018,AQS,340010006,3,13.5,ug/m3 LC,54,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/10/2018,AQS,340010006,3,9.1,ug/m3 LC,38,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/11/2018,AQS,340010006,3,5,ug/m3 LC,21,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/13/2018,AQS,340010006,3,4.8,ug/m3 LC,20,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/14/2018,AQS,340010006,3,5.3,ug/m3 LC,22,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
1/15/2018,AQS,340010006,3,6.7,ug/m3 LC,28,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
